Website,Affiliate Programs,Page views,$ from advertising/day
asos.com,,,
adidas.com,,538,$6
Footlocker.com,,,
Champs.com,,,
vans.com,,,
macys.com,,,
Shoes.com,,,
Underarmour.com,,,
Sneakerhead.com,,,
shopnicekicks.com,,,
solestage.com,,,
sneakersnstuff.com,,,
Zappos.com,,,
6pm.com,,,
jimmyjazz.com,,,
blowoutshop.de (Europe),,,
burner.de (Europe),,,
ebay.com,,"2,040",$22
nordstrom.com,,"1,440.00",$13
kicksusa.com,,,
Flightclub.com,,"4,306",$19.33
ubiqlife.com,,,
caliroots.com,,,
brandshop.ru,,,
footdistrict.com,,,
stadiumgoods.com,,342,$2
ruvilla.com,,,
footshop.eu (Europe),,,
animaltracks.de (Europe),,,
23penny.com,,"2,590",$20
2sneakers.de,,893,$0.81
5pointz.co.uk,,,
a-ma-maniere.com,,,
afew-store.com,,,
allikestore.com,,,
andsneaks.com,,,
apstoneandhammer.com,,,
asneakerlife.com,,,
"
",,"686,760","$6,407"
atmosny.com,,"68,296",$583.39
avenuestore.be,,,
baitme.com,,"2,485","$11,767.32"
baskets-store.com,,,
blackrainbow-shop.com,,30,$0.13
blendsus.com,,,
bludshop.com,,,
bruut.nl,,,
bstnstore.com,,,
burnrubbersneakers.com,,"3,202",$32
calicojack.nl,,,
cans-and-co.de,,,
centre214.com,,,
cncpts.com,,,
concrete.nl,,,
crephut.com,,,
dandyfellow.com,,,
deadstock.ca,,,
def-shop.com,,,
dope-factory.com,,,
en.titolo.ch,,"1,585",$7.12
endclothing.com,,"71,675",$591
epicstore.nl,,,
fineline1721.com,,"4,480",$37.62
footasylum.com,,,
footish.se,,,
footlocker.de,,,
footpatrol.com,,,
gloryholeshop.com,,,
glueckstreter.de,,,
Goat.com,,,
grailed.com,,,
hanon-shop.com,,,
hhv.de,,,
highsandlows.net.au,,,
holygrailgoods.com,,100,$1
holypopstore.com,,,
https://www.43einhalb.com,,,
Indexpdx.com,,320,$1.44
inflammable.com,,,
itkkit.com,,,
kickgame.co.uk,,,
Kicks-crew.com,,,
kickshawaii.com,,,
kickz.com,,,
kickzr4us.com,,"8,375",$63
Kith.com,,"3,740",$19
kixclusive.com,,"2,905",$1
kixify.com,,"9,177",$41.20
klekt.in,,,
lalalandstore.com,,,
le-fix.com,,,
main-source.co.uk,,,
majordc.com,,596,$2.68
mate-store.com,,"14,875",$70.04
monox-store.com,,,
mrporter.com,,,
mypaddedroom.com,,,
nakedcph.com,,,
napsize.com,,,
nighshop.com,,,
Nike.com,,"31,889",$297.82
Nike.com/us/en_us,,,
noboysallowed.nl,,,
noirfonce.eu,,,
oneness287.com,,,
oqium.nl,,,
orangejungle.de,,,
osneaker.com,,,
outlet46.de,,,
overkillshop.com,,,
paar-laden.at,,,
packershoes.com,,,
patta.nl,,,
projectblitz.com,,16,$0.07
properlbc.com,,"18,042",$133
pys.com,,,
renarts.com,,,
rezetstore.dk,,,
rif.la,,,
rise45.com,,,
roundtwostore.com,,100,$0.45
royal-kingdom.nl,,,
saintalfred.com,,"2,243",$17
sapatostore.com,,,
saveoursole.de,,,
schrittmacher-shop.de,,,
schuhdealer.com,,,
shelta.eu,,,
shoechapter.com,,,
shoezgallery.com,,,
shop.bdgastore.com,,,
shop.doverstreetmarket.com,,101,$1
shop.extrabutterny.com,,,
shopthecollectionmiami.com,,,
sivasdescalzo.com,,,
sizeer.de,,,
sizeofficial.de,,,
slamjamsocialism.com,,,
slash-store.com,,,
sneak-a-venue.com,,,
sneaker-circle.de,,,
sneakerbaas.com,,,
sneakerboy.com,,"12,000",$89
sneakerdistrict.com,,,
sneakerdon.com,,,
sneakerpolitics.com,,"3,591",$29
sneakerworldshop.com,,,
sneaxs.de,,,
snipes.com,,,
snkrs.com,,,
solebox.com,,"2,310",$17.26
solecontrolphila.com,,"64,128",$420.61
soleheaven.com,,,
solekitchen.de,,,
solesupremacy.com,,,
soulfoot.de,,,
sport-muenzinger.de,,,
stasp.de,,,
stealbruch.de,,,
stickabush.com,,,
stil-laden.at,,,
stockX.com,,,
store.kix-files.com,,,
stoy.com,,,
stuartslondon.com,,,
succezzthestore.com,,,
suede-store.com,,,
suppastore.com,,,
tanc.de,,,
thegoodwillout.com,,,
theheatcheck.pinnaclecart.com,,105,$0.47
thehipstore.co.uk,,,
theidleman.com,,,
theprimierstore.com,,"12,848",$129
thesneakerauthority.com,,,
tint-footwear.com,,,
undefeated.com,,,
Unknwn.com,,142,$0.64
unotrestore.com,,,
urbanindustry.co.uk,,,
urbanjunglestore.com,,,
urbannecessities.com,,,
vrients.com,,,
wellgosh.com,,,
westnyc.com,,"1,291",$15
windycitysole.myshopify.com,,"60,000","$3,086"
Wishatl.com,,,
zupport.de,,,
purcado.com (search engine),,,
shoekicker.com (search engine),,,
Searchin.it (search engine),,,
Runrepeat.com (search engine),,,